10,9
20,0
30,1
40,1
50,2
60,2
70,3
80,4
90,5
100,6
200,24
300,50
400,85
500,130
600,188
700,252
800,325
900,406
1000,499
2000,1939
3000,4357
4000,7847
5000,12331
6000,17971
7000,23536
8000,31835
9000,40433
10000,50214
20000,214082
30000,604776
40000,1253462
50000,2137439
60000,2982417
70000,4394937
80000,5496170
90000,7776845
100000,9391648
200000,38546918
300000,88398474
400000,166141097
500000,257820417
600000,378485583
700000,514244494
800000,648217947
900000,823199811
1000000,1015861927
