array_size,execution_time
10,21
20,5
30,2
40,22
50,4
60,5
70,11
80,15
90,8
100,12
200,48
300,41
400,69
500,77
600,77
700,128
800,106
900,118
1000,131
2000,2375
3000,508
4000,667
5000,850
6000,907
7000,1354
8000,1456
9000,1646
10000,1617
20000,3863
30000,5426
40000,6383
50000,7953
60000,9737
70000,11522
80000,13051
90000,15171
100000,16508
200000,37494
300000,55816
400000,73188
500000,93158
600000,118626
700000,139746
800000,165307
900000,185520
1000000,201588
