array_size,execution_time
10,15
20,0
30,0
40,0
50,1
60,1
70,1
80,1
90,2
100,2
200,4
300,7
400,10
500,14
600,17
700,20
800,24
900,27
1000,30
2000,67
3000,105
4000,150
5000,189
6000,250
7000,272
8000,318
9000,353
10000,409
20000,872
30000,1349
40000,1905
50000,2401
60000,2836
70000,3433
80000,3758
90000,4203
100000,4914
200000,10372
300000,15695
400000,21953
500000,28373
600000,33569
700000,38829
800000,46019
900000,51971
1000000,59431
