array_size,execution_time
10,64
20,93
30,45
40,141
50,90
60,99
70,150
80,175
90,242
100,230
200,836
300,1247
400,1888
500,2645
600,4195
700,4028
800,4229
900,4432
1000,2868
2000,16482
3000,29219
4000,43148
5000,66368
6000,86687
7000,119455
8000,158105
9000,198371
10000,255034
20000,1094557
30000,3158634
40000,6760337
50000,16032900
60000,25357701
70000,50594291
80000,78305138
90000,165473797
100000,244301109
