10,56
20,2
30,4
40,6
50,10
60,13
70,16
80,21
90,25
100,33
200,130
300,285
400,508
500,776
600,723
700,946
800,1156
900,1434
1000,1748
2000,6984
3000,9784
4000,14247
5000,17543
6000,21528
7000,25823
8000,31786
9000,40803
10000,51136
20000,270520
30000,673515
40000,1330416
50000,1956989
60000,2858724
70000,4357691
80000,5435881
90000,6712138
100000,9394178
200000,38821883
300000,87897102
400000,157503156
500000,248328360
600000,360617528
700000,491294364
800000,643265951
900000,818948923
1000000,1009582160
