array_size,execution_time
10,44
20,4
30,4
40,11
50,7
60,8
70,12
80,14
90,40
100,19
200,37
300,65
400,81
500,93
600,121
700,135
800,144
900,162
1000,174
2000,409
3000,659
4000,806
5000,1325
6000,1484
7000,1577
8000,1865
9000,2523
10000,1746
20000,4038
30000,5134
40000,6186
50000,6718
60000,6563
70000,7386
80000,7727
90000,8186
100000,8407
200000,16040
300000,23569
400000,31182
500000,35490
600000,67564
700000,56095
800000,62335
900000,69338
1000000,73015
