array_size,execution_time
10,12
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
2000,1
3000,1
4000,2
5000,2
6000,3
7000,4
8000,4
9000,5
10000,5
20000,11
30000,17
40000,22
50000,29
60000,35
70000,42
80000,47
90000,53
100000,60
200000,123
300000,184
400000,279
500000,333
600000,356
700000,487
800000,502
900000,577
1000000,645
